	ecco_full_title	publication_year	gatherings	authors	ecco_full_title_2	publication_year_2	authors_2	gatherings_2
0	An introduction to botany. Containing an explanation of the theory of that science; extracted from the works of Dr. Linnæus; with twelve copper-plates, two explanatory tables, an appendix and glossary. The third edition, corrected, with large additions. By James Lee, ...	1776.0	8vo	Linné, Carl von, 1707-1778.	A new medical dictionary; or, general repository of physic. Containing an explanation of the terms, and a description of the various particulars Relating To Anatomy, Physiology, Physic, Surgery, Materia Medica, Pharmacy, &c. &c. &c. Each Article, according to its Importance, being considered in every Relation to which its Usefulness extends in the Healing Art. By G. Motherby, M.D.	1775.0	Motherby, G. (George), 1732-1793.	2fo
1	An introduction to botany. Containing an explanation of the theory of that science; extracted from the works of Dr. Linnæus; with twelve copper-plates, two explanatory tables, an appendix and glossary. The third edition, corrected, with large additions. By James Lee, ...	1776.0	8vo	Linné, Carl von, 1707-1778.	A new medical dictionary; or, general repository of physic. Containing an explanation of the terms, and a description of the various particulars Relating To Anatomy, Physiology, Physic, Surgery, Materia Medica, Pharmacy, &c. &c. &c. Each Article, according to its Importance, being considered in every Relation to which its Usefulness extends in the Healing Art. By G. Motherby, M.D.	1775.0	Motherby, G. (George), 1732-1793.	2fo
2	An introduction to botany. Containing an explanation of the theory of that science; extracted from the works of Dr. Linnæus; with twelve copper-plates, two explanatory tables, an appendix and glossary. The third edition, corrected, with large additions. By James Lee, ...	1776.0	8vo	Linné, Carl von, 1707-1778.	A new medical dictionary; or, general repository of physic. Containing an explanation of the terms, and a description of the various particulars Relating To Anatomy, Physiology, Physic, Surgery, Materia Medica, Pharmacy, &c. &c. &c. Each Article, according to its Importance, being considered in every Relation to which its Usefulness extends in the Healing Art. By G. Motherby, M.D.	1775.0	Motherby, G. (George), 1732-1793.	2fo
3	An introduction to botany. Containing an explanation of the theory of that science; extracted from the works of Dr. Linnæus; with twelve copper-plates, two explanatory tables, an appendix and glossary. The third edition, corrected, with large additions. By James Lee, ...	1776.0	8vo	Linné, Carl von, 1707-1778.	A new medical dictionary; or, general repository of physic. Containing an explanation of the terms, and a description of the various particulars. Relating To Anatomy, Physiology, Physic, Surgery, Materia Medica, Chemistry, &c. &c. &c. Each Article, according to its Importance, being considered in every Relation to which its Usefulness extends in the Healing Art. By G. Motherby, M.D.	1785.0	Motherby, G. (George), 1732-1793.	2fo
4	An introduction to botany. Containing an explanation of the theory of that science; extracted from the works of Dr. Linnæus; with twelve copper-plates, two explanatory tables, an appendix and glossary. The third edition, corrected, with large additions. By James Lee, ...	1776.0	8vo	Linné, Carl von, 1707-1778.	A new medical dictionary; or, general repository of physic. Containing an explanation of the terms, and a description of the various particulars. Relating To Anatomy, Physiology, Physic, Surgery, Materia Medica, Chemistry, &c. &c. &c. Each Article, according to its Importance, being considered in every Relation to which its Usefulness extends in the Healing Art. By G. Motherby, M.D.	1785.0	Motherby, G. (George), 1732-1793.	2fo
5	An introduction to botany. Containing an explanation of the theory of that science; extracted from the works of Dr. Linnæus; with twelve copper-plates, two explanatory tables, an appendix and glossary. The third edition, corrected, with large additions. By James Lee, ...	1776.0	8vo	Linné, Carl von, 1707-1778.	A new medical dictionary; or, general repository of physic. Containing an explanation of the terms, and a description of the various particulars. Relating To Anatomy, Physiology, Physic, Surgery, Materia Medica, Chemistry, &c. &c. &c. Each Article, according to its Importance, being considered in every Relation to which its Usefulness extends in the Healing Art. By G. Motherby, M.D.	1785.0	Motherby, G. (George), 1732-1793.	2fo
6	An introduction to botany. Containing an explanation of the theory of that science; extracted from the works of Dr. Linnæus; with twelve copper-plates, two explanatory tables, an appendix and glossary. The third edition, corrected, with large additions. By James Lee, ...	1776.0	8vo	Linné, Carl von, 1707-1778.	A new medical dictionary; or, general repository of physic. Containing an explanation of the terms, and a description of the various particulars. Relating To Anatomy, Physiology, Physic, Surgery, Materia Medica, Chemistry, &c. &c. &c. Each Article, according to its Importance, being considered in every Relation to which its Usefulness extends in the Healing Art. By G. Motherby, M.D.	1785.0	Motherby, G. (George), 1732-1793.	2fo
7	An introduction to botany. Containing an explanation of the theory of that science; extracted from the works of Dr. Linnæus; with twelve copper-plates, two explanatory tables, an appendix and glossary. The third edition, corrected, with large additions. By James Lee, ...	1776.0	8vo	Linné, Carl von, 1707-1778.	A new medical dictionary; or, general repository of physic. Containing an explanation of the terms, and a description of the various particulars. Relating To Anatomy, Physiology, Physic, Surgery, Materia Medica, Chemistry, &c. &c. &c. Each Article, according to its Importance, being considered in every Relation to which its Usefulness extends in the Healing Art. By G. Motherby, M.D.	1785.0	Motherby, G. (George), 1732-1793.	2fo
8	An introduction to botany. Containing an explanation of the theory of that science; extracted from the works of Dr. Linnæus; with twelve copper-plates, two explanatory tables, an appendix and glossary. The third edition, corrected, with large additions. By James Lee, ...	1776.0	8vo	Linné, Carl von, 1707-1778.	A new medical dictionary; or, general repository of physic. Containing an explanation of the terms, and a description of the various particulars relating to anatomy, physiology, physic, surgery, materia medica, chemistry, &c. &c. &c. Each Article, according to its Importance, being considered in every Relation to which its Usefulness extends in the Healing Art. By G. Motherby, M.D. C. M. S. By George Wallis, M. D. S. M. S. Lecturer on the Theory and Practice of Physic, London.	1791.0	Motherby, G. (George), 1732-1793.	2fo
9	An introduction to botany. Containing an explanation of the theory of that science; extracted from the works of Dr. Linnæus; with twelve copper-plates, two explanatory tables, an appendix and glossary. The third edition, corrected, with large additions. By James Lee, ...	1776.0	8vo	Linné, Carl von, 1707-1778.	A new medical dictionary; or, general repository of physic. Containing an explanation of the terms, and a description of the various particulars relating to anatomy, physiology, physic, surgery, materia medica, chemistry, &c. &c. &c. Each Article, according to its Importance, being considered in every Relation to which its Usefulness extends in the Healing Art. By G. Motherby, M.D. C. M. S. By George Wallis, M. D. S. M. S. Lecturer on the Theory and Practice of Physic, London.	1791.0	Motherby, G. (George), 1732-1793.	2fo
10	An introduction to botany. Containing an explanation of the theory of that science; extracted from the works of Dr. Linnæus; with twelve copper-plates, two explanatory tables, an appendix and glossary. The third edition, corrected, with large additions. By James Lee, ...	1776.0	8vo	Linné, Carl von, 1707-1778.	A new medical dictionary; or, general repository of physic. Containing an explanation of the terms, and a description of the various particulars relating to anatomy, physiology, physic, surgery, materia medica, chemistry, &c. &c. &c. Each Article, according to its Importance, being considered in every Relation to which its Usefulness extends in the Healing Art. By G. Motherby, M.D. C. M. S. By George Wallis, M. D. S. M. S. Lecturer on the Theory and Practice of Physic, London.	1791.0	Motherby, G. (George), 1732-1793.	2fo
